10:08:43 [ultranest] [DEBUG] ReactiveNestedSampler: dims=4+0, resume=True, log_dir=ultra_results, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
10:08:44 [ultranest] [INFO] Sampling 400 live points from prior ...
10:09:09 [ultranest] [DEBUG] run_iter dlogz=0.3, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
10:09:09 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
10:09:09 [ultranest] [DEBUG] minimal_widths_sequence: [(np.float64(-inf), np.float64(400.0)), (np.float64(inf), np.float64(400.0))]
10:09:09 [ultranest] [DEBUG] iteration=0, ncalls=401, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-31.21, Lmax=-16.30
10:09:09 [ultranest] [DEBUG] iteration=2, ncalls=403, regioncalls=120, ndraw=40, logz=-34.86, remainder_fraction=99.9998%, Lmin=-28.25, Lmax=-16.30
10:09:09 [ultranest] [DEBUG] iteration=4, ncalls=405, regioncalls=200, ndraw=40, logz=-33.20, remainder_fraction=99.9990%, Lmin=-27.35, Lmax=-16.30
10:09:10 [ultranest] [DEBUG] iteration=6, ncalls=407, regioncalls=280, ndraw=40, logz=-32.16, remainder_fraction=99.9972%, Lmin=-27.22, Lmax=-16.30
10:09:10 [ultranest] [DEBUG] iteration=7, ncalls=408, regioncalls=320, ndraw=40, logz=-31.87, remainder_fraction=99.9962%, Lmin=-27.13, Lmax=-16.30
10:09:10 [ultranest] [DEBUG] iteration=9, ncalls=410, regioncalls=400, ndraw=40, logz=-31.40, remainder_fraction=99.9940%, Lmin=-26.88, Lmax=-16.30
10:09:10 [ultranest] [DEBUG] iteration=11, ncalls=412, regioncalls=480, ndraw=40, logz=-31.03, remainder_fraction=99.9912%, Lmin=-26.87, Lmax=-16.30
10:09:10 [ultranest] [DEBUG] iteration=13, ncalls=414, regioncalls=560, ndraw=40, logz=-30.74, remainder_fraction=99.9882%, Lmin=-26.58, Lmax=-16.30
10:09:10 [ultranest] [DEBUG] iteration=14, ncalls=416, regioncalls=640, ndraw=40, logz=-30.59, remainder_fraction=99.9864%, Lmin=-26.57, Lmax=-16.30
10:09:10 [ultranest] [DEBUG] iteration=15, ncalls=417, regioncalls=680, ndraw=40, logz=-30.47, remainder_fraction=99.9845%, Lmin=-26.51, Lmax=-16.30
10:09:10 [ultranest] [DEBUG] iteration=17, ncalls=419, regioncalls=760, ndraw=40, logz=-30.24, remainder_fraction=99.9804%, Lmin=-26.40, Lmax=-16.30
10:09:11 [ultranest] [DEBUG] iteration=19, ncalls=421, regioncalls=840, ndraw=40, logz=-30.03, remainder_fraction=99.9759%, Lmin=-26.37, Lmax=-16.30
10:09:11 [ultranest] [DEBUG] iteration=20, ncalls=422, regioncalls=880, ndraw=40, logz=-29.95, remainder_fraction=99.9736%, Lmin=-26.37, Lmax=-16.30
10:09:11 [ultranest] [DEBUG] iteration=22, ncalls=424, regioncalls=960, ndraw=40, logz=-29.79, remainder_fraction=99.9690%, Lmin=-26.32, Lmax=-16.30
10:09:11 [ultranest] [DEBUG] iteration=24, ncalls=427, regioncalls=1080, ndraw=40, logz=-29.64, remainder_fraction=99.9642%, Lmin=-26.24, Lmax=-16.30
10:09:11 [ultranest] [DEBUG] iteration=25, ncalls=428, regioncalls=1120, ndraw=40, logz=-29.58, remainder_fraction=99.9616%, Lmin=-26.24, Lmax=-16.30
10:09:11 [ultranest] [DEBUG] iteration=27, ncalls=431, regioncalls=1240, ndraw=40, logz=-29.45, remainder_fraction=99.9563%, Lmin=-26.16, Lmax=-16.30
10:09:12 [ultranest] [DEBUG] iteration=28, ncalls=432, regioncalls=1280, ndraw=40, logz=-29.39, remainder_fraction=99.9535%, Lmin=-26.12, Lmax=-16.30
10:09:12 [ultranest] [DEBUG] iteration=30, ncalls=435, regioncalls=1400, ndraw=40, logz=-29.27, remainder_fraction=99.9476%, Lmin=-26.12, Lmax=-16.30
10:09:12 [ultranest] [DEBUG] iteration=32, ncalls=437, regioncalls=1480, ndraw=40, logz=-29.17, remainder_fraction=99.9415%, Lmin=-26.03, Lmax=-16.30
10:09:12 [ultranest] [DEBUG] iteration=33, ncalls=438, regioncalls=1520, ndraw=40, logz=-29.12, remainder_fraction=99.9384%, Lmin=-26.01, Lmax=-16.30
10:09:12 [ultranest] [DEBUG] iteration=35, ncalls=440, regioncalls=1600, ndraw=40, logz=-29.02, remainder_fraction=99.9318%, Lmin=-26.00, Lmax=-16.30
10:09:13 [ultranest] [DEBUG] iteration=37, ncalls=442, regioncalls=1680, ndraw=40, logz=-28.93, remainder_fraction=99.9252%, Lmin=-25.93, Lmax=-16.30
10:09:13 [ultranest] [DEBUG] iteration=38, ncalls=444, regioncalls=1760, ndraw=40, logz=-28.88, remainder_fraction=99.9216%, Lmin=-25.92, Lmax=-16.30
10:09:13 [ultranest] [DEBUG] iteration=40, ncalls=446, regioncalls=1840, ndraw=40, logz=-28.80, remainder_fraction=99.9144%, Lmin=-25.88, Lmax=-16.30
10:09:13 [ultranest] [DEBUG] iteration=42, ncalls=449, regioncalls=1960, ndraw=40, logz=-28.72, remainder_fraction=99.9068%, Lmin=-25.83, Lmax=-16.30
10:09:13 [ultranest] [DEBUG] iteration=43, ncalls=450, regioncalls=2000, ndraw=40, logz=-28.68, remainder_fraction=99.9030%, Lmin=-25.80, Lmax=-16.30
10:09:14 [ultranest] [DEBUG] iteration=45, ncalls=453, regioncalls=2120, ndraw=40, logz=-28.60, remainder_fraction=99.8947%, Lmin=-25.77, Lmax=-16.30
